Title,Author,Average Rating,Rating,Year Published
The Power of Awareness: Neville Goddard's Popular Self-help book - Unlocking Inner Potential: Neville Goddard's Guide to Harnessing the Power of Awareness,Neville Goddard,4.41,"3,437",1951
Revolutionizing Women's Healthcare: The Feminist Self-Help Movement in America,Hannah Dudley-Shotwell,3.91,11,0
Self-Centered Spouse: Help for Chronically Broken Marriages,Brad C. Hambrick,4.29,78,2014
"Joy! Joy! Joy!: 7 Mind Body Spirit Self-Help Practices to Relieve Stress, Reverse Memory Loss and Live Happy - I Did It! You Too Can Bust the Blues",Ellen  Wood,4.55,11,0
The Self-Help Compulsion: Searching for Advice in Modern Literature,Beth Blum,3.36,25,0
"Getting to Yes: Negotiating Agreement Without Giving In: by Robert Fisher, William Ury, Bruce Patton | MW Summary Guide",The Mindset Warrior,3.75,32,0
The Interpersonal Problems Workbook: ACT to End Painful Relationship Patterns (A New Harbinger Self-Help Workbook),Matthew McKay,4.15,80,2013
Healing the Trauma of Domestic Violence: A Workbook for Women (New Harbinger Self-Help Workbook),Mari McCaig MSW,4.23,64,2004
"The Anti-Anxiety Workbook: Proven Strategies to Overcome Worry, Phobias, Panic, and Obsessions (The Guilford Self-Help Workbook Series)",Martin M. Antony,3.93,45,2008
The Power of Awareness: Neville Goddard's Popular Self-help book - Unlocking Inner Potential: Neville Goddard's Guide to Harnessing the Power of Awareness,Neville Goddard,4.41,"3,437",1951
Socially Accepted: A Self-Help book for the Socially Awkward,Joseph Alexander,2.77,31,2014
Stoicism: An Ex-SPY’s Guide to the Stoic Way of Life - Master the Ancient Philosophies of Productivity & Peace of Mind (Spy Self-Help Book 9),James Daugherty,3.78,63,0
"Take Control of Your Life: Self Help for Depression, Anxiety Disorders, Confidence, Success & More",Dan    Jones,3.05,40,2009
"The Queer Mental Health Workbook: A Creative Self-Help Guide Using CBT, CFT and DBT",Brendan J. Dunlop,4.39,23,0
The Magical Combination of Tarot and Astrology: How to Improve Your Readings with Astro-Tarot (Self-Help Books for Personal and Spiritual Growth Book 2),Ruth Aharoni,4.29,17,2013
Socially Accepted: A Self-Help book for the Socially Awkward,Joseph Alexander,2.77,31,2014
HOW I OVERCAME MY TRAUMA & PTSD | Self-help guide & workbook | Mindfulness Based Trauma Treatment,Philippe Izmailov,3.64,14,2012
Finding Your Way Back to You: A Self-Help Guide for Women Who Want to Regain Their Mojo and Realise Their Dreams!,Lynne Saint,4.21,14,2012
"Separating You: A Self-Help Book for the Lost, Lonely, and Psychotically Obsessed",Jason Carson,3.16,50,0
Why I Abandoned the Hebrew Israelite Religion: A Memoir/Self-Help Guide,Hannah Spivey,3.32,22,2015
"Women's Encyclopedia of Health & Emotional Healing: Top Women Doctors Share Their Unique Self-Help Advice on Your Body, Your Feelings and Your Life",Denise Foley,3.71,38,1993
all you need are seeds... a socio-political self-help memoir about organic gardening,Rachel M. Walls,3.75,4,2013
Sex Games: 52 Bedroom Challenges To Spice Up Your Love Life (with bonus content!) (Self Help Change Your Life Book 1),Terry Winterfield,3.14,29,2014
Why I Abandoned the Hebrew Israelite Religion: A Memoir/Self-Help Guide,Hannah Spivey,3.32,22,2015
"The Appetite Awareness Workbook: How to Listen to Your Body and Overcome Bingeing, Overeating, and Obsession with Food (A New Harbinger Self-Help Workbook)",Linda W. Craighead,3.78,54,2006
"7 Spiritual Habits to Change Your Life: + Free 30-Day Companion Course (Self Help, Spiritual Books, Spiritual Growth, Happiness, Spirituality, Success)",Nadya Almeira,3.74,39,0
"Separating You: A Self-Help Book for the Lost, Lonely, and Psychotically Obsessed",Jason Carson,3.16,50,0
"DIY: Secret Hiding Places: 90 Places To, Hide What You Don't Want Found! (SHTF Stockpile, SHTF Plan, Prepper's Guide, Prepper's Hacks, Self-Help Workbook, ... Hack Book, Hack It, How To Hide Anything)",Steve Plant,3.91,47,2015
"Take Control of Your Life: Self Help for Depression, Anxiety Disorders, Confidence, Success & More",Dan    Jones,3.05,40,2009
The Magical Combination of Tarot and Astrology: How to Improve Your Readings with Astro-Tarot (Self-Help Books for Personal and Spiritual Growth Book 2),Ruth Aharoni,4.29,17,2013
"Women's Encyclopedia of Health & Emotional Healing: Top Women Doctors Share Their Unique Self-Help Advice on Your Body, Your Feelings and Your Life",Denise Foley,3.71,38,1993
Change Your Habits Change Your Life: A Christian Self Help,Adam Houge,4.05,21,0
"ONLY YOU CAN MOTIVATE YOURSELF!: Change Your Life... Change Your World...(Self help,self help books, motivational self help books, personal development, self improvement)",Birister Sharma,4.24,46,0
"10 WAYS TO CHANGE YOUR LIFE AT ANY AGE!: A self-guide to improve your personality.....(Self help & self help books, motivational self help books, personal development, self improvement)",Birister Sharma,4.11,35,0
The BDD Workbook: Overcome Body Dysmorphic Disorder and End Body Image Obsessions (A New Harbinger Self-Help Workbook),James Claiborn,4.09,32,2002
Mind-Body Workbook for PTSD: A 10-Week Program for Healing After Trauma (A New Harbinger Self-Help Workbook),Stanley H. Block,4.00,56,2010
"The Appetite Awareness Workbook: How to Listen to Your Body and Overcome Bingeing, Overeating, and Obsession with Food (A New Harbinger Self-Help Workbook)",Linda W. Craighead,3.78,54,2006
"Semen Retention Benefits: A Transmutation of Your Life Energy; Masculinity, Money, Muscles & Real Manhood: The Manliness Guide To Men’s Self Help, Success, Mental Health & Well Being",Rich  King,4.03,30,0
"No Worries: A Guided Journal to Help You Calm Anxiety, Relieve Stress, and Practice Positive Thinking Each Day (Self Care & Self Help Books)",Bella Mente Press,4.49,45,0
How to be Happy: Not a Self-Help Book. Seriously,pleasefindthis,4.50,14,0
Overcoming Anxiety and Depression on the Autism Spectrum: A Self-Help Guide Using CBT,Lee A. Wilkinson,3.70,63,2015
all you need are seeds... a socio-political self-help memoir about organic gardening,Rachel M. Walls,3.75,4,2013
The Natural Menopause Method: The women’s health self-help guide to managing the menopause,Karen Newby,3.76,59,0
Self Help,Edward Docx,3.34,536,2007
Secrets of Influential People: 50 Techniques to Persuade People,Steven Pearce,3.67,24,2014
Overcoming Paranoid and Suspicious Thoughts: A Self-Help Guide Using Cognitive Behavioral Techniques,Daniel B. Freeman,3.76,34,2006
Getting Past Ok: The Self-Help Book for People Who Don?t Need Help,Richard Brodie,3.57,92,0
"Vagus Nerve: A Complete Guide to Activate the Healing power of Your Vagus Nerve – Reduce with Self-Help Exercises Anxiety, PTSD, Chronic Illness, Depression, Inflammation, Anger and Trauma",Dorian Franklin,3.93,56,0
Why Do I Do What I Don't Want to Do?: Replace Deadly Vices with Life-Giving Virtues (How 10 Biblical Virtues Can Help You Get Unstuck & Overcome the Cycle of Self-Destructive Bad Habits),Jonathan Pokluda,4.52,"2,102",0
"10 WAYS TO CHANGE YOUR LIFE AT ANY AGE!: A self-guide to improve your personality.....(Self help & self help books, motivational self help books, personal development, self improvement)",Birister Sharma,4.11,35,0
"Self Help: Embrace The Power of Positive Thinking (Self help, Self help books, Self help books for women, Free self help books, Anxiety self help, Self help relationships Book 1)",Daniel Robbins,2.87,15,2015
The No-Self Help Book: Forty Reasons to Get Over Your Self and Find Peace of Mind,Kate Gustin,3.52,50,0
Why Do I Do What I Don't Want to Do?: Replace Deadly Vices with Life-Giving Virtues (How 10 Biblical Virtues Can Help You Get Unstuck & Overcome the Cycle of Self-Destructive Bad Habits),Jonathan Pokluda,4.52,"2,102",0
Becoming Your Best: A Self-Help Guide for Thinking People,Ronald W. Richardson,4.27,15,2008
The Natural Menopause Method: The women’s health self-help guide to managing the menopause,Karen Newby,3.76,59,0
Self Help Masters - Don Miguel Ruiz: A Review of Life Changing Works (Self Help Masters Series Book 1),Sid Akula,4.42,43,2013
Self Help,Edward Docx,3.34,536,2007
Why She's Just Not That Into You and How to Get Over That Loser Quick,Your Self-Help Angel,3.00,2,2013
"How to Get Motivated and Stop Procrastinating: 51 Ways to Overcome Anxiety, Depression, Fear, and Lack of Motivation",Ashley Rosebloom,2.98,53,2014
Summary of The Psychology of Money by Morgan Housel,Chapter Zoom,4.10,41,0
"Thinking: Like A Spy: 3 Manuscripts - Persuasion An Ex-SPY's Guide, Negotiation An Ex-SPY's Guide, Body Language An Ex-SPY's Guide (Spy Self-Help Book 8)",James  Daugherty,3.73,26,0
"Self Help: Embrace The Power of Positive Thinking (Self help, Self help books, Self help books for women, Free self help books, Anxiety self help, Self help relationships Book 1)",Daniel Robbins,2.87,15,2015
Конец эпохи self-help: Как перестать себя совершенствовать (Stå fast: Et opgør med tidens udviklingstvang),Svend Brinkmann,3.62,"2,404",2014
"Love Yourself First: An Outstanding Self Help book for Women to Stop overthinking, Find balance and harmony, Boost self-growth, and Become happier in everyday life",Jennifer Clarke,3.33,42,0
"The Acid Reflux Cookbook: 101 Easy, Healthy & Fast Recipes to Relief from GERD and Avoid Any Worsening of Acid Reflux. Includes a 28-Day Helpful Meal Plan",Robert Dickens,3.40,10,0
Laws of the Jungle: Jaguars Don't Need Self-help Books,Yossi Ghinsberg,3.81,21,2006
Catholic Lent Devotional : A Journey into Imaginative Prayer with Julian of Norwich,Carolyn Berghuis,4.00,22,0
No Excuses Reading Journal for Self-Help Books,Tracy Tennant,3.80,5,0
Re-challenging and Reintroducing FODMAPS: A self-help guide to the entire reintroduction phase of the low FODMAP diet,Lee Martin,4.16,51,0
"How to Get Motivated and Stop Procrastinating: 51 Ways to Overcome Anxiety, Depression, Fear, and Lack of Motivation",Ashley Rosebloom,2.98,53,2014
Self Help Masters - Don Miguel Ruiz: A Review of Life Changing Works (Self Help Masters Series Book 1),Sid Akula,4.42,43,2013
Summary of The Psychology of Money by Morgan Housel,Chapter Zoom,4.10,41,0
Guidance On Creating Your Own Will & Power of Attorney: Legal Self-Help Guide,Sanket Mistry,5.00,2,2013
"The Addiction Recovery Skills Workbook: Changing Addictive Behaviors Using CBT, Mindfulness, and Motivational Interviewing Techniques (New Harbinger Self-help Workbooks)",Suzette Glasner-Edwards,4.18,93,2015
Build The Best You: A Practical 'Self Help' Guide To Transform Yourself In 44 Days,Roger Brooks,4.44,18,0
Daily Meditations for Self Help and Healing,Ernest Shurtleff Holmes,4.32,34,2013
"The Art of Staying Best:-30 Habits for dreamers to work deep: [Motivational book, Inspirational book, self help book, Personal development book]",Lakshmi Sagar G,3.95,41,0
Ending Female Pain: A Woman's Manual: The Ultimate Self Help Guide for Women Suffering From Chronic Pelvic and Sexual Pain,Isa Herrera,4.20,54,2009
Addiction: Breaking Free From Pain Pill & Opiates (Home Detox W/ Natural & Herbal Remedies for Pain Management of Withdrawals) Drug Abuse Self Help- Recovery for The Addicted & Motivational Memoir,Amanda Jenkins,3.86,49,2013
Never Lost: Your Inner Light is the Beacon of Inspiration for What Lies Ahead,Dimitrios Pagonis,4.00,2,0
Overcoming Perfectionism: A Self-Help Guide Using Cognitive Behavioural Techniques,Roz Shafran,3.79,245,2010
The Endometriosis Natural Treatment Program: A Complete Self-Help Plan for Improving Health and Well-Being,Valerie Ann Worwood,3.72,53,2004
Re-challenging and Reintroducing FODMAPS: A self-help guide to the entire reintroduction phase of the low FODMAP diet,Lee Martin,4.16,51,0
Suuri self help-huijaus,Emilia Kujala,3.36,90,0
Master Growth: The Ultimate Guide For Penis Enlargement,Self Help Guru,4.00,3,0
Postpartum depression and anxiety: A self-help guide for mothers,Pacific Post Partum Support Society,4.17,23,2014
The 6.5 Practices of Moderately Successful Poets: A Self-Help Memoir,Jeffrey Skinner,3.86,78,2011
Addiction: Breaking Free From Pain Pill & Opiates (Home Detox W/ Natural & Herbal Remedies for Pain Management of Withdrawals) Drug Abuse Self Help- Recovery for The Addicted & Motivational Memoir,Amanda Jenkins,3.86,49,2013
Self-Help Acu-Hematite Therapy,Fu-mei Chen,4.11,9,2014
"The Art of Staying Best:-30 Habits for dreamers to work deep: [Motivational book, Inspirational book, self help book, Personal development book]",Lakshmi Sagar G,3.95,41,0
"The Addiction Recovery Skills Workbook: Changing Addictive Behaviors Using CBT, Mindfulness, and Motivational Interviewing Techniques (New Harbinger Self-help Workbooks)",Suzette Glasner-Edwards,4.18,93,2015
Never Lost: Your Inner Light is the Beacon of Inspiration for What Lies Ahead,Dimitrios Pagonis,4.00,2,0
Psychological Self-Help,Clayton E. Tucker-Ladd,4.00,16,1997
Who Moved My Mouse?: A Self-Help Book for Cats,Dena Harris,3.62,87,2010
Suuri self help-huijaus,Emilia Kujala,3.36,90,0
"Jealousy: A Psychologist’s Guide to Overcome Envy, Codependency & Possessiveness in Any Relationship - Trust, Love & Be Happy (Psychology Self-Help Book 10)",Katherine Chambers,4.19,27,0
How To Be A Good President,Gwynneth Mary Lovas,2.33,3,0
Writing Successful Self-Help and How-To Books (Wiley Books for Writers),Jean Marie Stine,3.84,57,1997
SUMMARY: The 48 Laws of Power: by Robert Greene | The MW Summary Guide,The Mindset Warrior,4.19,21,2015
"Guaranteed Solutions: Spirituality, Meditation & Self-Help",Paramahamsa Nithyananda,4.84,51,2008
Summary of The Subtle Art of Not Giving A F*ck - Concise and Succinct EasySummaries (EasySummaries Self-Help Book 1),EasySummaries Books,3.59,22,0
The 6.5 Practices of Moderately Successful Poets: A Self-Help Memoir,Jeffrey Skinner,3.86,78,2011
"Self-help Yourself: Find Your ""Kick-ass"" Mentor in a Self-help Book; Follow the Principles and Create Your Better Life",Olive Rose Steele,4.67,3,0
Summary of Think Again by Adam Grant,Chapter Zoom,3.79,19,0
Who Moved My Mouse?: A Self-Help Book for Cats,Dena Harris,3.62,87,2010
Weightloss Daily Devotional and Prayer Book: 7 Days of Weight Loss Motivation from the Bible (Paper Free Daily Devotionals and Prayer Books - Men and Women ... Selling Books Self Help Weight Loss Book 1),Kristen Knight,3.96,23,0
"The Doctor's Book of Home Remedies for Women: Women Doctors Reveal over 2,000 Self-Help Tips on the Health Problems That Concern Women the Most",Prevention Magazine,3.68,28,1996
Self-Help Stuff That Works,Adam Khan,3.84,32,1999
Negotiation: An Ex-SPY’s Guide to Master the Psychological Tricks & Talking Tools to Become an Expert Negotiator in Any Situation (Spy Self-Help Book 5),James  Daugherty,3.54,39,0
Estate Planning Organizer: Legal Self-Help Guide,Sanket Mistry,3.62,21,2014
"Manipulation: A Psychologist’s Guide to Detect Emotional Manipulation, Spot Mind Control Tricks of Influence & Persuasion Tactics to Defend Against It (Psychology Self-Help Book 3)",Katherine Chambers,3.94,16,0
A Brief Guide to Self-Help Classics: From How to Win Friends and Influence People to The Chimp Paradox,James M. Russell,3.63,41,0
Negotiation: An Ex-SPY’s Guide to Master the Psychological Tricks & Talking Tools to Become an Expert Negotiator in Any Situation (Spy Self-Help Book 5),James  Daugherty,3.54,39,0
The Self-Help Directory: A Guide to Connecticut and National Groups 1996-1997,Connecticut Self-Help Network,4.00,3,0
"HEALING : Heal Your Mind, Heal Your Body: Change Your Life",Mary Solomon,3.81,21,2015
"Weight Loss Motivation: for Men and Women!: How to Trick Your Brain to Get Motivated and Transform Your Body Fast (Motivational Secrets, Weight Loss Motivation, ... Self Help Book, Motivation Hacks Book 1)",Kira Novac,3.56,25,2015
"Anxiety Relief: Self Help (With Heart) For Anxiety, Panic Attacks, And Stress Management",John  Crawford,4.11,54,0
The Dialectical Behavior Therapy Skills Workbook for Bulimia: Using DBT to Break the Cycle and Regain Control of Your Life (A New Harbinger Self-Help Workbook),Ellen Astrachan-Fletcher,4.23,47,2009
"How To Love Yourself: (Free Gift eBook Inside!) Build A Confident Self Esteem And Help Benefit Others (Release Depression, Self Neglect And Anxiety)",Judith Walker,3.50,6,2015
Estate Planning Organizer: Legal Self-Help Guide,Sanket Mistry,3.62,21,2014
A Brief Guide to Self-Help Classics: From How to Win Friends and Influence People to The Chimp Paradox,James M. Russell,3.63,41,0
Summary of Limitless by Jim Kwik,Chapter Zoom,4.25,12,0
Summary of Limitless by Jim Kwik,Chapter Zoom,4.25,12,0
"Quiet Your Mind and Get to Sleep: Solutions to Insomnia for Those with Depression, Anxiety, or Chronic Pain (New Harbinger Self-Help Workbook)",Colleen E. Carney,3.87,203,2007
"How to Change the Life You Have For the Life You Want (The Self Help Bible, Volume 2)",Amanda Ball,3.68,22,2011
"Hoarding: The Ultimate Guide for How to Overcome Compulsive Hoarding, Saving, And Collecting",Julian Hulse,3.38,37,2014
Break Your Self-Help Addiction: The 5 Keys to Total Personal Freedom,Brian D. Ridgway,3.97,37,0
"Self Esteem: Confidence Building--Overcome Fear, Stress and Anxiety: Self Help Guide",James Seals,3.84,25,2015
"The Anorexia Workbook: How to Accept Yourself, Heal Your Suffering, and Reclaim Your Life (A New Harbinger Self-Help Workbook)",Michelle Heffner,3.83,54,0
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works (A True Story) by Dan Harris -- Summary, Review & Analysis",Save Time Summaries,3.76,34,2014
"DAILY VAGUS NERVE EXERCISES: The Self-Help Guide to Stimulate Vagal Tone. Relieve Anxiety, Prevent Inflammation, Reduce Chronic Illness, Depression, Trauma, PTSD and Lots More",Jason Carter,3.77,31,0
Self help book I'm with you always & forever,Sweeti H Markana,4.41,103,0
"DAILY VAGUS NERVE EXERCISES: The Self-Help Guide to Stimulate Vagal Tone. Relieve Anxiety, Prevent Inflammation, Reduce Chronic Illness, Depression, Trauma, PTSD and Lots More",Jason Carter,3.77,31,0
"A Life of Gratitude: A Journal to Appreciate It All, Big and Small (Guided Journals, Self Help Books, Keepsake Gratitude Journals, Mindfulness Journals): A Journal to Appreciate It All, Big and Small",Lori Roberts,4.61,18,0
The Strengths-Based Workbook for Stress Relief: A Character Strengths Approach to Finding Calm in the Chaos of Daily Life (A New Harbinger Self-Help Workbook),Ryan M.  Niemiec,3.84,19,0
Teach Yourself About Shares: A Self-Help Guide to Success on the Sharemarket,Roger Kinsky,3.37,38,2009
The 5 Minute Procrastination Addiction Cure: Eliminating Procrastination By Starting In 5 Minutes Or Less (The 5 Minute Self Help Series Book 1),Magnus Muller,3.74,42,0
"Strengths Life Upgraded, Volume One: Take Your StrengthsFinder Results to the Next Level (StrengthFinder, Self Help, Leadership, Relationships Book 1)",Zach Carlsen,3.43,14,2015
"Self Esteem: Confidence Building--Overcome Fear, Stress and Anxiety: Self Help Guide",James Seals,3.84,25,2015
"Manifesting: The Secret Self Help Guide For Using Law of Attraction And Attract Money, Happiness And Success Using Manifestation",Rhonda Hicks,3.39,44,0
F*ck Your Negative Thoughts: 7 Steps to Get Out of Your Head and Start Living an Awesome Life (Self Help Book 1),Tony Sanders,4.00,26,0
Beating the Blues: a Self-help Approach to Overcoming Depression: a Self-help Approach to Overcoming Depression,Susan  Tanner,3.53,53,1989
The Overcoming Bulimia Workbook: Your Comprehensive Step-by-Step Guide to Recovery (A New Harbinger Self-Help Workbook),Randi E. McCabe,3.90,60,2004
"The Anorexia Workbook: How to Accept Yourself, Heal Your Suffering, and Reclaim Your Life (A New Harbinger Self-Help Workbook)",Michelle Heffner,3.83,54,0
"Achieve Your Potential with Positive Psychology: CBT, mindfulness and practical philosophy for finding lasting happiness (Teach Yourself: Relationships & Self-Help Book 1)",Tim LeBon,4.22,32,2014
Arun Deep's Self Help To ICSE Total English Language (Paper-1) For Class 9,J. Randhawa,4.00,8,0
The Awakened Introvert: Practical Mindfulness Skills to Help You Maximize Your Strengths and Thrive in a Loud and Crazy World (A New Harbinger Self-Help Workbook),Arnie Kozak,3.46,194,2015
The Game of Life and How to Play It (DF Self-Help Treasure Book 7),Florence Scovel Shinn,4.10,"3,429",1978
Positive Thinking And Be Happy : Self Help Book to Stop Negative Thinking and Building Your Self Esteem (A stress-free book),Mike C. Adams,3.91,22,2013
"A Cry for Self-Help (Kate Jasper, #8)",Jaqueline Girdner,3.17,58,1997
Summary of Think Like A Monk by Jay Shetty,Chapter Zoom,4.15,13,0
"Understanding the Mind, Body, and Spirit: A Beginner’s Guide to Find Themselves and Spiritually Heal Through Chakras, Energy, and Hypnosis (Spiritual Healing and Self-Help Book 1)",Travis Hemingway,4.15,26,0
There Are No Fools: Why We End Up Just Where We Should,Hillel Lerman,3.30,43,2015
"The Mindfulness and Acceptance Workbook for Stress Reduction: Using Acceptance and Commitment Therapy to Manage Stress, Build Resilience, and Create ... You Want (A New Harbinger Self-Help Workbook)",Fredrik Livheim,4.62,8,0
"Depression 101: A Practical Guide to Treatments, Self-Help Strategies, and Preventing Relapse",John D. Preston,3.59,46,2010
Positive Thinking And Be Happy : Self Help Book to Stop Negative Thinking and Building Your Self Esteem (A stress-free book),Mike C. Adams,3.91,22,2013
The World According to Jack: A Dog's-Eye View with Self-Help Advice for Other Dogs,"Jack ""k-9"" Newport",3.03,36,0
The Neuroscience Of Gratitude: Why Self Help Has It All Wrong: Rewire Your Brain With A Science Backed Gratitude Practice In 5 Minutes A Day And Develop ... And Happiness,Andrew Humington,3.90,30,0
"Understanding the Mind, Body, and Spirit: A Beginner’s Guide to Find Themselves and Spiritually Heal Through Chakras, Energy, and Hypnosis (Spiritual Healing and Self-Help Book 1)",Travis Hemingway,4.15,26,0
The Brexshit Book: A Remainer's Self-Help Guide to Leaving the EU,Steven S. Stevens,3.33,63,0
Doing This ONE Thing Will Change Your Life Forever!: The Self Help Guide to Personal Growth & Healthy Relationships,Jacqui Olliver,4.13,15,0
"Overcoming Paranoid and Suspicious Thoughts, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Daniel Freeman,4.31,42,2012
Managing Multiple Sclerosis Naturally: A Self-help Guide to Living with MS,Judy Graham,3.91,54,2010
"Positive Thinking: The 7 Laws of Positive Thinking: Positive Energy Through Self Help: Using The Power of Belief to Destroy Negativity (7 Laws, Positive Thinking Books, Positive Psychology)",Brian Cagneey,3.87,23,0
"The Mindfulness and Acceptance Workbook for Stress Reduction: Using Acceptance and Commitment Therapy to Manage Stress, Build Resilience, and Create ... You Want (A New Harbinger Self-Help Workbook)",Fredrik Livheim,4.62,8,0
"Depression 101: A Practical Guide to Treatments, Self-Help Strategies, and Preventing Relapse",John D. Preston,3.59,46,2010
Self-Help That Works: Resources to Improve Emotional Health and Strengthen Relationships,John C. Norcross,4.29,14,2013
Guidance On Creating Your Own Will & Power of Attorney: Legal Self Help Guide,Sanket Mistry,4.00,11,2014
Acupressure Techniques: A Self-Help Guide,Julian Kenyon,3.92,26,1987
8 Living Trust Forms: Legal Self-Help Guide,Sanket Mistry,3.83,12,2014
The Art of Positive Thinking: Eliminate Negative Thinking I Emotional Intelligence I Stop Overthinking: A Self Help Book to Developing Mindfulness and Overcoming Negative Thoughts,Elizabeth R. Brown,4.11,19,0
Doing This ONE Thing Will Change Your Life Forever!: The Self Help Guide to Personal Growth & Healthy Relationships,Jacqui Olliver,4.13,15,0
Self Help For Black Girls: Ways To Benefit From Self Love Self Care and Mindfulness.,Carol Sinclair,4.53,17,0
"The Power Of Eliminating Negative Thinking: The Life-Changing Self Help Guide - How to Stop Overthinking, Remove any Negativity in Your Life and Finding Joy in Every Day",Bryan Patterson,3.53,36,0
"The Mindfulness and Acceptance Workbook for Stress Reduction: Using Acceptance and Commitment Therapy to Manage Stress, Build Resilience, and Create ... You Want (A New Harbinger Self-Help Workbook)",Fredrik Livheim,4.62,8,0
"Depression 101: A Practical Guide to Treatments, Self-Help Strategies, and Preventing Relapse",John D. Preston,3.59,46,2010
Rosacea: Your Self-Help Guide,Arlen Brownstein ND,4.04,28,2001
Build Your Own Life: A Self-Help Guide For Individuals With Asperger Syndrome,Wendy Lawson,3.61,18,2003
Acupressure Techniques: A Self-Help Guide,Julian Kenyon,3.92,26,1987
Beyond Carl Rogers,David Brazier,4.45,11,1993
Doing This ONE Thing Will Change Your Life Forever!: The Self Help Guide to Personal Growth & Healthy Relationships,Jacqui Olliver,4.13,15,0
"Overcoming Paranoid and Suspicious Thoughts, 2nd Edition: A self-help guide using cognitive behavioural techniques (Overcoming Books)",Daniel Freeman,4.31,42,2012
The Cognitive Behavioral Therapy Workbook for Personality Disorders: A Step-by-Step Program (A New Harbinger Self-Help Workbook),Jeffrey   Wood,4.15,27,2010
Knit.101: The Indispensable Self-Help Guide to Knitting and Crochet,Knit.1 Magazine,3.34,44,2007
The Art of Positive Thinking: Eliminate Negative Thinking I Emotional Intelligence I Stop Overthinking: A Self Help Book to Developing Mindfulness and Overcoming Negative Thoughts,Elizabeth R. Brown,4.11,19,0
"The Little Book of Rest: 100+ Ways to Relax and Restore Your Mind, Body, and Soul (Little Book of Self-Help Series)",Stephanie Thomas,3.34,35,0
Secrets of Wealthy People: 50 Techniques to Get Rich,David  Stevenson,3.57,42,2014
Top 100 Self Help Books in Kindle,Stephanie King,3.33,12,2014
Experiencing The Life-Changing Power Of Faith: A Christian Self Help,Adam Houge,4.53,15,0
Play From Your Fucking Heart: A Somewhat Twisted Escape Plan for People Who Usually Hate Self-Help Books,Jerry Hyde,4.43,30,2014
100 Things Successful People Do: Little Exercises for Successful Living: 100 Self Help Rules for Life,Nigel Cumberland,3.88,582,2016
Mental Health Mindset: 14 Untold Secrets To Overcome Depression & Create Happiness (The Things That Saved My Life While I Danced With Depression),Matt Morris,3.50,10,0
"Daily Vagus Nerve Exercises: A Self-Help Guide to Stimulate Vagal Tone, Relieve Anxiety and Prevent Inflammation with Practical Exercises to Release your Body's Natural Ability to Heal",Sherman Sander,4.25,16,0
Love Is an Action Verb: Stop Wasting Time and Delight in Your Relationship (DIY Relationship Self-Help Series),Laura Silverstein,4.31,13,0
"Emotional Intelligence: Master Your Emotions To Improve Self Control, Self Awareness & Mind Power. Effectively Managing Oneself & Managing People Will Allow You To Achieve More. (Self Help Book 1)",Lewis Alerson,4.33,6,0
8 Living Trust Forms: Legal Self-Help Guide,Sanket Mistry,3.83,12,2014
Enlightened Bestseller: 7 Keys to Creating a Successful Self-Help Book,Janet Bray Attwood,4.11,35,2013
Top 100 Self Help Books in Kindle,Stephanie King,3.33,12,2014
Experiencing The Life-Changing Power Of Faith: A Christian Self Help,Adam Houge,4.53,15,0
Quit Meth Now!: A self-Help guide to Kicking your Cocaine or Methamphetamine addiction.,Jay P. Hotrum,4.56,9,2013
Living the Writer's Life: A Complete Self-Help Guide,Eric Maisel,3.80,30,1999
"Cognitive Behavioral Therapy: Techniques for Retraining Your Brain, Break Through Depression, Phobias, Anxiety, Intrusive Thoughts",Jack Oliver,3.07,14,0
"Daily Vagus Nerve Exercises: A Self-Help Guide to Stimulate Vagal Tone, Relieve Anxiety and Prevent Inflammation with Practical Exercises to Release your Body's Natural Ability to Heal",Sherman Sander,4.25,16,0
Love Is an Action Verb: Stop Wasting Time and Delight in Your Relationship (DIY Relationship Self-Help Series),Laura Silverstein,4.31,13,0
Habit: The Top 100 Best Habits: How To Make A Positive Habit Permanent And How To Break Bad Habits (Habit Change Success Productivity Self Help Guide),Ace McCloud,3.17,30,2014
The Wealth Code: Small Habits To Financial Freedom (Self Help Success Series Book 3),Ray Brehm,4.13,15,0
12 Steps to Freedom: A Career Planning and Self Help Manual for Prospering in Today's Job Market,Paul Rega,4.52,31,2014
The Expanded Dialectical Behavior Therapy Skills Training Manual: DBT for Self-Help and Individual & Group Treatment Settings,Lane Pederson,4.38,8,0
"Self Esteem for Women: a Comprehensive Guide to Overcome Doubt and Insecurity, Improve Your Confidence and Build a Strong Mental Attitude through both ... Practical Workbooks",Rachel Brown,4.00,8,0
Quit Meth Now!: A self-Help guide to Kicking your Cocaine or Methamphetamine addiction.,Jay P. Hotrum,4.56,9,2013
"Cognitive Behavioral Therapy: Techniques for Retraining Your Brain, Break Through Depression, Phobias, Anxiety, Intrusive Thoughts",Jack Oliver,3.07,14,0
Happy to Be Me!: A Kid Book about Self-Esteem (Elf-Help Books for Kids),Christine A. Adams,4.09,32,2001
The Self-Help Group Directory,New Jersey Self-Help Clearinghouse,0.00,0,1992
Self-Help Skills for People with Autism: A Systematic Teaching Approach,Stephen Anderson,4.11,36,2006
